model,pk,abbreviation,name
catalog.Locale,1,aar,Afar
catalog.Locale,2,abk,Abkhazian
catalog.Locale,3,ace,Achinese
catalog.Locale,4,ach,Acoli
catalog.Locale,5,ada,Adangme
catalog.Locale,6,ady,Adyghe; Adygei
catalog.Locale,7,afa,Afro-Asiatic languages
catalog.Locale,8,afh,Afrihili
catalog.Locale,9,afr,Afrikaans
catalog.Locale,10,ain,Ainu
catalog.Locale,11,aka,Akan
catalog.Locale,12,akk,Akkadian
catalog.Locale,13,alb* / sqi,Albanian
catalog.Locale,14,ale,Aleut
catalog.Locale,15,alg,Algonquian languages
catalog.Locale,16,alt,Southern Altai
catalog.Locale,17,amh,Amharic
catalog.Locale,18,ang,"English; Old(ca.450–1100)"
catalog.Locale,19,anp,Angika
catalog.Locale,20,apa,Apache languages
catalog.Locale,21,ara,Arabic
catalog.Locale,22,arc,Official Aramaic(700–300 BCE);Imperial Aramaic(700–300 BCE)
catalog.Locale,23,arg,Aragonese
catalog.Locale,24,arm* / hye,Armenian
catalog.Locale,25,arn,Mapudungun;Mapuche
catalog.Locale,26,arp,Arapaho
catalog.Locale,27,art,Artificial languages
catalog.Locale,28,arw,Arawak
catalog.Locale,29,asm,Assamese
catalog.Locale,30,ast,Asturian;Bable;Leonese;Asturleonese
catalog.Locale,31,ath,Athapascan languages
catalog.Locale,32,aus,Australian languages
catalog.Locale,33,ava,Avaric
catalog.Locale,34,ave,Avestan
catalog.Locale,35,awa,Awadhi
catalog.Locale,36,aym,Aymara
catalog.Locale,37,aze,Azerbaijani
catalog.Locale,38,bad,Banda languages
catalog.Locale,39,bai,Bamileke languages
catalog.Locale,40,bak,Bashkir
catalog.Locale,41,bal,Baluchi
catalog.Locale,42,bam,Bambara
catalog.Locale,43,ban,Balinese
catalog.Locale,44,baq* / eus,Basque
catalog.Locale,45,bas,Basa
catalog.Locale,46,bat,Baltic languages
catalog.Locale,47,bej,Beja;Bedawiyet
catalog.Locale,48,bel,Belarusian
catalog.Locale,49,bem,Bemba
catalog.Locale,50,ben,Bengali
catalog.Locale,51,ber,Berber languages
catalog.Locale,52,bho,Bhojpuri
catalog.Locale,53,bih,Bihari languages
catalog.Locale,54,bik,Bikol
catalog.Locale,55,bin,Bini;Edo
catalog.Locale,56,bis,Bislama
catalog.Locale,57,bla,Siksika
catalog.Locale,58,bnt,Bantu (Other)
catalog.Locale,59,bod/ tib*,Tibetan
catalog.Locale,60,bos,Bosnian
catalog.Locale,61,bra,Braj
catalog.Locale,62,bre,Breton
catalog.Locale,63,btk,Batak languages
catalog.Locale,64,bua,Buriat
catalog.Locale,65,bug,Buginese
catalog.Locale,66,bul,Bulgarian
catalog.Locale,67,bur* / mya,Burmese
catalog.Locale,68,byn,Blin; Bilin
catalog.Locale,69,cad,Caddo
